region,år,tabellinnehåll,value
Säffle,2026,Skattesats till region,12.28
Lekeberg,2026,"Skattesats, total kommunal",33.73
Lekeberg,2026,Skattesats till kommun,21.43
Lekeberg,2026,Skattesats till region,12.30
Laxå,2026,"Skattesats, total kommunal",35.00
Laxå,2026,Skattesats till kommun,22.70
Laxå,2026,Skattesats till region,12.30
Hallsberg,2026,"Skattesats, total kommunal",33.85
Hallsberg,2026,Skattesats till kommun,21.55
Hallsberg,2026,Skattesats till region,12.30
Degerfors,2026,"Skattesats, total kommunal",35.30
Degerfors,2026,Skattesats till kommun,23.00
Degerfors,2026,Skattesats till region,12.30
Hällefors,2026,"Skattesats, total kommunal",34.35
Hällefors,2026,Skattesats till kommun,22.05
Hällefors,2026,Skattesats till region,12.30
Ljusnarsberg,2026,"Skattesats, total kommunal",33.80
Ljusnarsberg,2026,Skattesats till kommun,21.50
Ljusnarsberg,2026,Skattesats till region,12.30
Örebro,2026,"Skattesats, total kommunal",33.65
Örebro,2026,Skattesats till kommun,21.35
Örebro,2026,Skattesats till region,12.30
Kumla,2026,"Skattesats, total kommunal",33.84
Kumla,2026,Skattesats till kommun,21.54
Kumla,2026,Skattesats till region,12.30
Askersund,2026,"Skattesats, total kommunal",34.15
Askersund,2026,Skattesats till kommun,21.85
Askersund,2026,Skattesats till region,12.30
Karlskoga,2026,"Skattesats, total kommunal",34.30
Karlskoga,2026,Skattesats till kommun,22.00
Karlskoga,2026,Skattesats till region,12.30
Nora,2026,"Skattesats, total kommunal",34.55
Nora,2026,Skattesats till kommun,22.25
Nora,2026,Skattesats till region,12.30
Lindesberg,2026,"Skattesats, total kommunal",34.60
Lindesberg,2026,Skattesats till kommun,22.30
Lindesberg,2026,Skattesats till region,12.30
Skinnskatteberg,2026,"Skattesats, total kommunal",33.34
Skinnskatteberg,2026,Skattesats till kommun,22.46
Skinnskatteberg,2026,Skattesats till region,10.88
Surahammar,2026,"Skattesats, total kommunal",33.19
Surahammar,2026,Skattesats till kommun,22.31
Surahammar,2026,Skattesats till region,10.88
Kungsör,2026,"Skattesats, total kommunal",32.91
Kungsör,2026,Skattesats till kommun,22.03
Kungsör,2026,Skattesats till region,10.88
Hallstahammar,2026,"Skattesats, total kommunal",32.69
Hallstahammar,2026,Skattesats till kommun,21.81
Hallstahammar,2026,Skattesats till region,10.88
Norberg,2026,"Skattesats, total kommunal",33.54
Norberg,2026,Skattesats till kommun,22.66
Norberg,2026,Skattesats till region,10.88
Västerås,2026,"Skattesats, total kommunal",31.24
Västerås,2026,Skattesats till kommun,20.36
Västerås,2026,Skattesats till region,10.88
Sala,2026,"Skattesats, total kommunal",33.19
Sala,2026,Skattesats till kommun,22.31
Sala,2026,Skattesats till region,10.88
Fagersta,2026,"Skattesats, total kommunal",32.99
Fagersta,2026,Skattesats till kommun,22.11
Fagersta,2026,Skattesats till region,10.88
Köping,2026,"Skattesats, total kommunal",33.04
Köping,2026,Skattesats till kommun,22.16
Köping,2026,Skattesats till region,10.88
Arboga,2026,"Skattesats, total kommunal",33.29
Arboga,2026,Skattesats till kommun,22.41
Arboga,2026,Skattesats till region,10.88
Vansbro,2026,"Skattesats, total kommunal",34.28
Vansbro,2026,Skattesats till kommun,22.29
Vansbro,2026,Skattesats till region,11.99
Malung-Sälen,2026,"Skattesats, total kommunal",34.45
Malung-Sälen,2026,Skattesats till kommun,22.46
Malung-Sälen,2026,Skattesats till region,11.99
Gagnef,2026,"Skattesats, total kommunal",34.27
Gagnef,2026,Skattesats till kommun,22.28
Gagnef,2026,Skattesats till region,11.99
Leksand,2026,"Skattesats, total kommunal",33.80
Leksand,2026,Skattesats till kommun,21.81
Leksand,2026,Skattesats till region,11.99
Rättvik,2026,"Skattesats, total kommunal",33.80
Rättvik,2026,Skattesats till kommun,21.81
Rättvik,2026,Skattesats till region,11.99
Orsa,2026,"Skattesats, total kommunal",34.30
Orsa,2026,Skattesats till kommun,22.31
Orsa,2026,Skattesats till region,11.99
Älvdalen,2026,"Skattesats, total kommunal",34.77
Älvdalen,2026,Skattesats till kommun,22.78
Älvdalen,2026,Skattesats till region,11.99
Smedjebacken,2026,"Skattesats, total kommunal",34.44
Smedjebacken,2026,Skattesats till kommun,22.45
Smedjebacken,2026,Skattesats till region,11.99
Mora,2026,"Skattesats, total kommunal",34.32
Mora,2026,Skattesats till kommun,22.33
Mora,2026,Skattesats till region,11.99
Falun,2026,"Skattesats, total kommunal",34.05
Falun,2026,Skattesats till kommun,22.06
Falun,2026,Skattesats till region,11.99
Borlänge,2026,"Skattesats, total kommunal",34.40
Borlänge,2026,Skattesats till kommun,22.41
Borlänge,2026,Skattesats till region,11.99
Säter,2026,"Skattesats, total kommunal",34.30
Säter,2026,Skattesats till kommun,22.31
Säter,2026,Skattesats till region,11.99
Hedemora,2026,"Skattesats, total kommunal",34.15
Hedemora,2026,Skattesats till kommun,22.16
Hedemora,2026,Skattesats till region,11.99
Avesta,2026,"Skattesats, total kommunal",33.95
Avesta,2026,Skattesats till kommun,21.96
Avesta,2026,Skattesats till region,11.99
Ludvika,2026,"Skattesats, total kommunal",34.05
Ludvika,2026,Skattesats till kommun,22.06
Ludvika,2026,Skattesats till region,11.99
Ockelbo,2026,"Skattesats, total kommunal",34.27
Ockelbo,2026,Skattesats till kommun,22.76
Ockelbo,2026,Skattesats till region,11.51
Hofors,2026,"Skattesats, total kommunal",34.37
Hofors,2026,Skattesats till kommun,22.86
Hofors,2026,Skattesats till region,11.51
Ovanåker,2026,"Skattesats, total kommunal",33.37
Ovanåker,2026,Skattesats till kommun,21.86
Ovanåker,2026,Skattesats till region,11.51
Nordanstig,2026,"Skattesats, total kommunal",34.02
Nordanstig,2026,Skattesats till kommun,22.51
Nordanstig,2026,Skattesats till region,11.51
Ljusdal,2026,"Skattesats, total kommunal",33.87
Ljusdal,2026,Skattesats till kommun,22.36
Ljusdal,2026,Skattesats till region,11.51
Gävle,2026,"Skattesats, total kommunal",33.77
Gävle,2026,Skattesats till kommun,22.26
Gävle,2026,Skattesats till region,11.51
Sandviken,2026,"Skattesats, total kommunal",33.12
Sandviken,2026,Skattesats till kommun,21.61
Sandviken,2026,Skattesats till region,11.51
Söderhamn,2026,"Skattesats, total kommunal",33.17
Söderhamn,2026,Skattesats till kommun,21.66
Söderhamn,2026,Skattesats till region,11.51
Bollnäs,2026,"Skattesats, total kommunal",33.37
Bollnäs,2026,Skattesats till kommun,21.86
Bollnäs,2026,Skattesats till region,11.51
Hudiksvall,2026,"Skattesats, total kommunal",33.12
Hudiksvall,2026,Skattesats till kommun,21.61
Hudiksvall,2026,Skattesats till region,11.51
Ånge,2026,"Skattesats, total kommunal",34.62
Ånge,2026,Skattesats till kommun,23.33
Ånge,2026,Skattesats till region,11.29
Timrå,2026,"Skattesats, total kommunal",34.38
Timrå,2026,Skattesats till kommun,23.09
Timrå,2026,Skattesats till region,11.29
Härnösand,2026,"Skattesats, total kommunal",34.63
Härnösand,2026,Skattesats till kommun,23.34
Härnösand,2026,Skattesats till region,11.29
Sundsvall,2026,"Skattesats, total kommunal",33.88
Sundsvall,2026,Skattesats till kommun,22.59
Sundsvall,2026,Skattesats till region,11.29
Kramfors,2026,"Skattesats, total kommunal",34.43
Kramfors,2026,Skattesats till kommun,23.14
Kramfors,2026,Skattesats till region,11.29
Sollefteå,2026,"Skattesats, total kommunal",34.68
Sollefteå,2026,Skattesats till kommun,23.39
Sollefteå,2026,Skattesats till region,11.29
Örnsköldsvik,2026,"Skattesats, total kommunal",33.85
Örnsköldsvik,2026,Skattesats till kommun,22.56
Örnsköldsvik,2026,Skattesats till region,11.29
Ragunda,2026,"Skattesats, total kommunal",34.92
Ragunda,2026,Skattesats till kommun,23.22
Ragunda,2026,Skattesats till region,11.70
Bräcke,2026,"Skattesats, total kommunal",35.09
Bräcke,2026,Skattesats till kommun,23.39
Bräcke,2026,Skattesats till region,11.70
Krokom,2026,"Skattesats, total kommunal",33.87
Krokom,2026,Skattesats till kommun,22.17
Krokom,2026,Skattesats till region,11.70
Strömsund,2026,"Skattesats, total kommunal",34.92
Strömsund,2026,Skattesats till kommun,23.22
Strömsund,2026,Skattesats till region,11.70
Åre,2026,"Skattesats, total kommunal",33.92
Åre,2026,Skattesats till kommun,22.22
Åre,2026,Skattesats till region,11.70
Berg,2026,"Skattesats, total kommunal",34.22
Berg,2026,Skattesats till kommun,22.52
Berg,2026,Skattesats till region,11.70
Härjedalen,2026,"Skattesats, total kommunal",34.17
Härjedalen,2026,Skattesats till kommun,22.47
Härjedalen,2026,Skattesats till region,11.70
Östersund,2026,"Skattesats, total kommunal",33.72
Östersund,2026,Skattesats till kommun,22.02
Östersund,2026,Skattesats till region,11.70
Nordmaling,2026,"Skattesats, total kommunal",35.10
Nordmaling,2026,Skattesats till kommun,23.25
Nordmaling,2026,Skattesats till region,11.85
Bjurholm,2026,"Skattesats, total kommunal",35.00
Bjurholm,2026,Skattesats till kommun,23.15
Bjurholm,2026,Skattesats till region,11.85
Vindeln,2026,"Skattesats, total kommunal",35.20
Vindeln,2026,Skattesats till kommun,23.35
Vindeln,2026,Skattesats till region,11.85
Robertsfors,2026,"Skattesats, total kommunal",35.00
Robertsfors,2026,Skattesats till kommun,23.15
Robertsfors,2026,Skattesats till region,11.85
Norsjö,2026,"Skattesats, total kommunal",35.20
Norsjö,2026,Skattesats till kommun,23.35
Norsjö,2026,Skattesats till region,11.85
Malå,2026,"Skattesats, total kommunal",35.20
Malå,2026,Skattesats till kommun,23.35
Malå,2026,Skattesats till region,11.85
Storuman,2026,"Skattesats, total kommunal",34.95
Storuman,2026,Skattesats till kommun,23.10
Storuman,2026,Skattesats till region,11.85
Sorsele,2026,"Skattesats, total kommunal",35.45
Sorsele,2026,Skattesats till kommun,23.60
Sorsele,2026,Skattesats till region,11.85
Dorotea,2026,"Skattesats, total kommunal",35.65
Dorotea,2026,Skattesats till kommun,23.80
Dorotea,2026,Skattesats till region,11.85
Vännäs,2026,"Skattesats, total kommunal",35.20
Vännäs,2026,Skattesats till kommun,23.35
Vännäs,2026,Skattesats till region,11.85
Vilhelmina,2026,"Skattesats, total kommunal",35.50
Vilhelmina,2026,Skattesats till kommun,23.65
Vilhelmina,2026,Skattesats till region,11.85
Åsele,2026,"Skattesats, total kommunal",35.45
Åsele,2026,Skattesats till kommun,23.60
Åsele,2026,Skattesats till region,11.85
Umeå,2026,"Skattesats, total kommunal",34.65
Umeå,2026,Skattesats till kommun,22.80
Umeå,2026,Skattesats till region,11.85
Lycksele,2026,"Skattesats, total kommunal",34.90
Lycksele,2026,Skattesats till kommun,23.05
Lycksele,2026,Skattesats till region,11.85
Skellefteå,2026,"Skattesats, total kommunal",34.45
Skellefteå,2026,Skattesats till kommun,22.60
Skellefteå,2026,Skattesats till region,11.85
Arvidsjaur,2026,"Skattesats, total kommunal",34.14
Arvidsjaur,2026,Skattesats till kommun,22.80
Arvidsjaur,2026,Skattesats till region,11.34
Arjeplog,2026,"Skattesats, total kommunal",34.84
Arjeplog,2026,Skattesats till kommun,23.50
Arjeplog,2026,Skattesats till region,11.34
Jokkmokk,2026,"Skattesats, total kommunal",34.29
Jokkmokk,2026,Skattesats till kommun,22.95
Jokkmokk,2026,Skattesats till region,11.34
Överkalix,2026,"Skattesats, total kommunal",34.14
Överkalix,2026,Skattesats till kommun,22.80
Överkalix,2026,Skattesats till region,11.34
Kalix,2026,"Skattesats, total kommunal",33.89
Kalix,2026,Skattesats till kommun,22.55
Kalix,2026,Skattesats till region,11.34
Övertorneå,2026,"Skattesats, total kommunal",33.84
Övertorneå,2026,Skattesats till kommun,22.50
Övertorneå,2026,Skattesats till region,11.34
Pajala,2026,"Skattesats, total kommunal",34.74
Pajala,2026,Skattesats till kommun,23.40
Pajala,2026,Skattesats till region,11.34
Gällivare,2026,"Skattesats, total kommunal",33.89
Gällivare,2026,Skattesats till kommun,22.55
Gällivare,2026,Skattesats till region,11.34
Älvsbyn,2026,"Skattesats, total kommunal",33.79
Älvsbyn,2026,Skattesats till kommun,22.45
Älvsbyn,2026,Skattesats till region,11.34
Luleå,2026,"Skattesats, total kommunal",33.84
Luleå,2026,Skattesats till kommun,22.50
Luleå,2026,Skattesats till region,11.34
Piteå,2026,"Skattesats, total kommunal",33.59
Piteå,2026,Skattesats till kommun,22.25
Piteå,2026,Skattesats till region,11.34
Boden,2026,"Skattesats, total kommunal",33.94
Boden,2026,Skattesats till kommun,22.60
Boden,2026,Skattesats till region,11.34
Haparanda,2026,"Skattesats, total kommunal",33.84
Haparanda,2026,Skattesats till kommun,22.50
Haparanda,2026,Skattesats till region,11.34
Kiruna,2026,"Skattesats, total kommunal",34.39
Kiruna,2026,Skattesats till kommun,23.05
Kiruna,2026,Skattesats till region,11.34
