region,år,tabellinnehåll,value
Kinda,2026,"Skattesats, total kommunal",33.00
Kinda,2026,Skattesats till kommun,21.45
Kinda,2026,Skattesats till region,11.55
Boxholm,2026,"Skattesats, total kommunal",33.37
Boxholm,2026,Skattesats till kommun,21.82
Boxholm,2026,Skattesats till region,11.55
Åtvidaberg,2026,"Skattesats, total kommunal",33.94
Åtvidaberg,2026,Skattesats till kommun,22.39
Åtvidaberg,2026,Skattesats till region,11.55
Finspång,2026,"Skattesats, total kommunal",33.70
Finspång,2026,Skattesats till kommun,22.15
Finspång,2026,Skattesats till region,11.55
Valdemarsvik,2026,"Skattesats, total kommunal",34.03
Valdemarsvik,2026,Skattesats till kommun,22.48
Valdemarsvik,2026,Skattesats till region,11.55
Linköping,2026,"Skattesats, total kommunal",31.75
Linköping,2026,Skattesats till kommun,20.20
Linköping,2026,Skattesats till region,11.55
Norrköping,2026,"Skattesats, total kommunal",33.30
Norrköping,2026,Skattesats till kommun,21.75
Norrköping,2026,Skattesats till region,11.55
Söderköping,2026,"Skattesats, total kommunal",33.53
Söderköping,2026,Skattesats till kommun,21.98
Söderköping,2026,Skattesats till region,11.55
Motala,2026,"Skattesats, total kommunal",33.25
Motala,2026,Skattesats till kommun,21.70
Motala,2026,Skattesats till region,11.55
Vadstena,2026,"Skattesats, total kommunal",34.35
Vadstena,2026,Skattesats till kommun,22.80
Vadstena,2026,Skattesats till region,11.55
Mjölby,2026,"Skattesats, total kommunal",33.45
Mjölby,2026,Skattesats till kommun,21.90
Mjölby,2026,Skattesats till region,11.55
Aneby,2026,"Skattesats, total kommunal",33.85
Aneby,2026,Skattesats till kommun,22.09
Aneby,2026,Skattesats till region,11.76
Gnosjö,2026,"Skattesats, total kommunal",34.00
Gnosjö,2026,Skattesats till kommun,22.24
Gnosjö,2026,Skattesats till region,11.76
Mullsjö,2026,"Skattesats, total kommunal",34.10
Mullsjö,2026,Skattesats till kommun,22.34
Mullsjö,2026,Skattesats till region,11.76
Habo,2026,"Skattesats, total kommunal",33.93
Habo,2026,Skattesats till kommun,22.17
Habo,2026,Skattesats till region,11.76
Gislaved,2026,"Skattesats, total kommunal",33.75
Gislaved,2026,Skattesats till kommun,21.99
Gislaved,2026,Skattesats till region,11.76
Vaggeryd,2026,"Skattesats, total kommunal",33.25
Vaggeryd,2026,Skattesats till kommun,21.49
Vaggeryd,2026,Skattesats till region,11.76
Jönköping,2026,"Skattesats, total kommunal",33.40
Jönköping,2026,Skattesats till kommun,21.64
Jönköping,2026,Skattesats till region,11.76
Nässjö,2026,"Skattesats, total kommunal",34.30
Nässjö,2026,Skattesats till kommun,22.54
Nässjö,2026,Skattesats till region,11.76
Värnamo,2026,"Skattesats, total kommunal",33.28
Värnamo,2026,Skattesats till kommun,21.52
Värnamo,2026,Skattesats till region,11.76
Sävsjö,2026,"Skattesats, total kommunal",33.68
Sävsjö,2026,Skattesats till kommun,21.92
Sävsjö,2026,Skattesats till region,11.76
Vetlanda,2026,"Skattesats, total kommunal",33.77
Vetlanda,2026,Skattesats till kommun,22.01
Vetlanda,2026,Skattesats till region,11.76
Eksjö,2026,"Skattesats, total kommunal",34.02
Eksjö,2026,Skattesats till kommun,22.26
Eksjö,2026,Skattesats till region,11.76
Tranås,2026,"Skattesats, total kommunal",33.77
Tranås,2026,Skattesats till kommun,22.01
Tranås,2026,Skattesats till region,11.76
Uppvidinge,2026,"Skattesats, total kommunal",33.80
Uppvidinge,2026,Skattesats till kommun,21.80
Uppvidinge,2026,Skattesats till region,12.00
Lessebo,2026,"Skattesats, total kommunal",33.81
Lessebo,2026,Skattesats till kommun,21.81
Lessebo,2026,Skattesats till region,12.00
Tingsryd,2026,"Skattesats, total kommunal",34.00
Tingsryd,2026,Skattesats till kommun,22.00
Tingsryd,2026,Skattesats till region,12.00
Alvesta,2026,"Skattesats, total kommunal",33.42
Alvesta,2026,Skattesats till kommun,21.42
Alvesta,2026,Skattesats till region,12.00
Älmhult,2026,"Skattesats, total kommunal",33.86
Älmhult,2026,Skattesats till kommun,21.86
Älmhult,2026,Skattesats till region,12.00
Markaryd,2026,"Skattesats, total kommunal",33.31
Markaryd,2026,Skattesats till kommun,21.31
Markaryd,2026,Skattesats till region,12.00
Växjö,2026,"Skattesats, total kommunal",32.19
Växjö,2026,Skattesats till kommun,20.19
Växjö,2026,Skattesats till region,12.00
Ljungby,2026,"Skattesats, total kommunal",33.07
Ljungby,2026,Skattesats till kommun,21.07
Ljungby,2026,Skattesats till region,12.00
Högsby,2026,"Skattesats, total kommunal",34.07
Högsby,2026,Skattesats till kommun,22.21
Högsby,2026,Skattesats till region,11.86
Torsås,2026,"Skattesats, total kommunal",33.79
Torsås,2026,Skattesats till kommun,21.93
Torsås,2026,Skattesats till region,11.86
Mörbylånga,2026,"Skattesats, total kommunal",34.07
Mörbylånga,2026,Skattesats till kommun,22.21
Mörbylånga,2026,Skattesats till region,11.86
Hultsfred,2026,"Skattesats, total kommunal",33.77
Hultsfred,2026,Skattesats till kommun,21.91
Hultsfred,2026,Skattesats till region,11.86
Mönsterås,2026,"Skattesats, total kommunal",34.07
Mönsterås,2026,Skattesats till kommun,22.21
Mönsterås,2026,Skattesats till region,11.86
Emmaboda,2026,"Skattesats, total kommunal",33.82
Emmaboda,2026,Skattesats till kommun,21.96
Emmaboda,2026,Skattesats till region,11.86
Kalmar,2026,"Skattesats, total kommunal",33.67
Kalmar,2026,Skattesats till kommun,21.81
Kalmar,2026,Skattesats till region,11.86
Nybro,2026,"Skattesats, total kommunal",34.19
Nybro,2026,Skattesats till kommun,22.33
Nybro,2026,Skattesats till region,11.86
Oskarshamn,2026,"Skattesats, total kommunal",34.21
Oskarshamn,2026,Skattesats till kommun,22.35
Oskarshamn,2026,Skattesats till region,11.86
Västervik,2026,"Skattesats, total kommunal",33.02
Västervik,2026,Skattesats till kommun,21.16
Västervik,2026,Skattesats till region,11.86
Vimmerby,2026,"Skattesats, total kommunal",34.22
Vimmerby,2026,Skattesats till kommun,22.36
Vimmerby,2026,Skattesats till region,11.86
Borgholm,2026,"Skattesats, total kommunal",33.44
Borgholm,2026,Skattesats till kommun,21.58
Borgholm,2026,Skattesats till region,11.86
Gotland,2026,"Skattesats, total kommunal",33.60
Gotland,2026,Skattesats till kommun,33.60
Gotland,2026,Skattesats till region,0.00
Olofström,2026,"Skattesats, total kommunal",33.75
Olofström,2026,Skattesats till kommun,21.71
Olofström,2026,Skattesats till region,12.04
Karlskrona,2026,"Skattesats, total kommunal",33.69
Karlskrona,2026,Skattesats till kommun,21.65
Karlskrona,2026,Skattesats till region,12.04
Ronneby,2026,"Skattesats, total kommunal",33.68
Ronneby,2026,Skattesats till kommun,21.64
Ronneby,2026,Skattesats till region,12.04
Karlshamn,2026,"Skattesats, total kommunal",33.80
Karlshamn,2026,Skattesats till kommun,21.76
Karlshamn,2026,Skattesats till region,12.04
Sölvesborg,2026,"Skattesats, total kommunal",33.86
Sölvesborg,2026,Skattesats till kommun,21.82
Sölvesborg,2026,Skattesats till region,12.04
Svalöv,2026,"Skattesats, total kommunal",31.92
Svalöv,2026,Skattesats till kommun,20.74
Svalöv,2026,Skattesats till region,11.18
Staffanstorp,2026,"Skattesats, total kommunal",30.12
Staffanstorp,2026,Skattesats till kommun,18.94
Staffanstorp,2026,Skattesats till region,11.18
Burlöv,2026,"Skattesats, total kommunal",31.27
Burlöv,2026,Skattesats till kommun,20.09
Burlöv,2026,Skattesats till region,11.18
Vellinge,2026,"Skattesats, total kommunal",29.68
Vellinge,2026,Skattesats till kommun,18.50
Vellinge,2026,Skattesats till region,11.18
Östra Göinge,2026,"Skattesats, total kommunal",32.17
Östra Göinge,2026,Skattesats till kommun,20.99
Östra Göinge,2026,Skattesats till region,11.18
Örkelljunga,2026,"Skattesats, total kommunal",30.24
Örkelljunga,2026,Skattesats till kommun,19.06
Örkelljunga,2026,Skattesats till region,11.18
Bjuv,2026,"Skattesats, total kommunal",32.17
Bjuv,2026,Skattesats till kommun,20.99
Bjuv,2026,Skattesats till region,11.18
Kävlinge,2026,"Skattesats, total kommunal",29.59
Kävlinge,2026,Skattesats till kommun,18.41
Kävlinge,2026,Skattesats till region,11.18
Lomma,2026,"Skattesats, total kommunal",30.72
Lomma,2026,Skattesats till kommun,19.54
Lomma,2026,Skattesats till region,11.18
Svedala,2026,"Skattesats, total kommunal",31.42
Svedala,2026,Skattesats till kommun,20.24
Svedala,2026,Skattesats till region,11.18
Skurup,2026,"Skattesats, total kommunal",31.60
Skurup,2026,Skattesats till kommun,20.42
Skurup,2026,Skattesats till region,11.18
Sjöbo,2026,"Skattesats, total kommunal",32.10
Sjöbo,2026,Skattesats till kommun,20.92
Sjöbo,2026,Skattesats till region,11.18
Hörby,2026,"Skattesats, total kommunal",32.26
Hörby,2026,Skattesats till kommun,21.08
Hörby,2026,Skattesats till region,11.18
Höör,2026,"Skattesats, total kommunal",32.63
Höör,2026,Skattesats till kommun,21.45
Höör,2026,Skattesats till region,11.18
Tomelilla,2026,"Skattesats, total kommunal",31.79
Tomelilla,2026,Skattesats till kommun,20.61
Tomelilla,2026,Skattesats till region,11.18
Bromölla,2026,"Skattesats, total kommunal",33.74
Bromölla,2026,Skattesats till kommun,22.56
Bromölla,2026,Skattesats till region,11.18
Osby,2026,"Skattesats, total kommunal",33.99
Osby,2026,Skattesats till kommun,22.81
Osby,2026,Skattesats till region,11.18
Perstorp,2026,"Skattesats, total kommunal",31.99
Perstorp,2026,Skattesats till kommun,20.81
Perstorp,2026,Skattesats till region,11.18
Klippan,2026,"Skattesats, total kommunal",31.93
Klippan,2026,Skattesats till kommun,20.75
